------- 1 - Términos	BI2024
stress parameter	parámetro de condiciones extremas	BI2024
stress stability testing	estudios de estabilidad en condiciones extremas	BI2024
stress studies	estudios en condiciones extremas	BI2024
stressed sample	muestra sometida a condiciones extremas 	BI2024
stroke	accidente cerebrovascular	BI2024
stroke volume	volumen sistólico	BI2024
stroke output	volumen sistólico	BI2024
structural formula	fórmula estructural	BI2024
study drug	medicamento en estudio	BI2024
study group	grupo de estudio	BI2024
sub-batch 	subpartida 	BI2024
subclone	subclonar	BI2024
sub-confluent	subconfluente	BI2024
subcutaneous	subcutáneo 	BI2024
subject	sujeto	de un estudio clínico)	BI2024
sublot	sublote	BI2024
sub-lot	sublote	BI2024
submandibular gland	glándula submaxilar	BI2024
submission	presentación para el registro	de un producto ante las autoridades sanitarias)	BI2024
sub-visible particles	partículas subvisibles	BI2024
subvisible particles	partículas subvisibles	BI2024
sucralose	sucralosa	BI2024
sucrose	sacarosa	BI2024
sugar coated tablet	gragea	BI2024
sulfation	sulfatación	BI2024
sulfone	sulfona	BI2024
sulfur aminoacid	aminoácido sulfurado 	BI2024
sulphaphenazole	sulfafenazol	BI2024
sulphate ash	ceniza sulfatada	BI2024
sulphated ash	ceniza sulfatada	BI2024
sulphate conjugate	conjugado con sulfato	BI2024
sulphated ash test	determinación de ceniza sulfatada	BI2024
sulphite	sulfito	BI2024
sulphonylurea	sulfonilurea 	BI2024
summary of clinical efficacy	resumen de eficacia clínica	BI2024
summary of clinical safety	resumen de seguridad clínica	BI2024
Summary of Product Characteristics  	Resumen de las características del producto  	BI2024
Suntest	Suntest	BI2024
superficial thrombophlebitis	tromboflebitis superficial	BI2024
supernatant solution	solución sobrenadante	BI2024
supersaturated solution	solución sobresaturada	BI2024
supersaturation	sobresaturación	BI2024
supplemental new drug application  	solicitud complementaria del registro de un medicamento  	BI2024
support bacterial growth	ser propicio para el desarrollo de bacterias	BI2024
supporting stability studies 	estudios respaldatorios de estabilidad	BI2024
supportive documentation	documentación respaldatoria	BI2024
support documentation	documentación respaldatoria	BI2024
surface plasmon resonance	resonancia de plasmones superficiales	BI2024
surmountable	superable	BI2024
surrogate	sustituto	BI2024
as surrogate	como sustituto	BI2024
surrogate, mouse specific anti-IL36R monoclonal antibody	anticuerpo monoclonal anti‑IL-36R específico sustituto de ratón 	BI2024
suspension culture techniques	técnicas de cultivo en suspensión	BI2024
sweep width	ancho de barrido	BI2024
symptom limitation	limitación por síntomas	BI2024
symptomatic benefit	beneficio sintomático	BI2024
symptomatic endpoint	criterio de valoración de síntomas	BI2024
synthesis impurities	impurezas de síntesis	BI2024
synthetic impurity	impureza sintética 	BI2024
synthetic pathways	vías de síntesis	BI2024
synthetic route	ruta sintética	BI2024
syringe manual sampling	muestreo manual mediante el uso de una jeringa	BI2024
syrup	jarabe	BI2024
system organ class 	clasificación por órganos y sistemas	referido al MedDRA)	BI2024
system suitability	adecuación del sistema	BI2024
system suitability solution	solución para adecuación del sistema	BI2024
system suitability test 	prueba de adecuación del sistema	BI2024
Systemic Lupus Erytthematosus	lupus eritematoso sistémico	BI2024
systolic arterial pressure	tensión arterial sistólica	BI2024
T helper cell mediated cytokines [Th1/Th17]	citocinas mediadas por linfocitos T colaboradores  [Th1/Th17]	BI2024
t value	valor t	estadística)	BI2024
Table of Contents	índice	BI2024
tablet	comprimido	BI2024
tablet crushing strength	resistencia del comprimido al aplastamiento	BI2024
tablet press	prensa para comprimidos	BI2024
tablet tooling	herramienta de compresión	para la formación de comprimidos)	BI2024
tablet-in-tablet	comprimido dentro del comprimido 	BI2024
tabulated summary	resumen tabulado	BI2024
tailing	cola de cromatografía	BI2024
tailing factor	factor de cola	BI2024
talc 	talco	BI2024
tamper protection seal	precinto de seguridad	BI2024
tamper-evident cap	tapa con precinto de seguridad	BI2024
tamper evident cap	tapa con precinto de seguridad	BI2024
tamper-evident closure	cierre con precinto de seguridad	BI2024
tamsulosin 	tamsulosina	BI2024
tandem mass spectrometry [MS/MS]	espectrometría de masas en tándem [MS/MS]	BI2024
tandem mass spectrometry detection	detección por espectrometría de masa en tándem	BI2024
tangent method 	método de la tangente	cromatografía)	BI2024
tank saturation	saturación de la cámara	BI2024
tare	calcular la tara	BI2024
target dose	dosis del estudio	BI2024
target group	grupo objetivo	BI2024
target organs	órganos afectados	BI2024
target tablet weight	peso objetivo del comprimido	BI2024
target-mediated drug disposition	disposición del fármaco mediada por la diana	BI2024
teflon lined caps	tapones forrados con teflón	BI2024
temperature cycling	variación cíclica de la temperatura	BI2024
temperature profile	perfil de temperatura	BI2024
template 	plantilla	BI2024
tender	estar sensible	referido a la piel)	BI2024
tender	dolorido	BI2024
tender	doloroso a la palpación	BI2024
tenderness	dolor a la palpación	BI2024
tenderness	dolor leve	BI2024
terminal half-life	vida media terminal	BI2024
test analytical procedure	procedimiento analítico del estudio	BI2024
test article	artículo en estudio	BI2024
test chamber	cámara de prueba	BI2024
test drug	medicación en estudio 	BI2024
test facility	centro	de realización del estudio)	BI2024
test for particle shedding	análisis del desprendimiento de partículas	BI2024
test item	sustancia en estudio	BI2024
test item formulation analysis 	análisis de la fórmula de la sustancia en estudio	BI2024
test method	método analítico	BI2024
test parameter	parámetro analítico	BI2024
test product 	producto experimental	BI2024
test sample	muestra de prueba 	BI2024
test substance	sustancia en estudio	BI2024
test system	sistema experimental	BI2024
testing specification 	especificación analítica	BI2024
tetrahydrate	tetrahidrato	BI2024
tetramethylsilane	tetrametilsilano	BI2024
thalassemia	talasemia	BI2024
thawing	descongelación	BI2024
theoretical weight 	peso teórico	BI2024
therapeutic classification	clasificación terapéutica 	BI2024
therapeutic failure	fracaso terapéutico	BI2024
thermal activity monitor	monitor de actividad térmica	BI2024
thermofoil	lámina térmica	BI2024
thermogravimetry	termogravimetría	BI2024
thermo-gravimetry	termogravimetría	BI2024
thiamin	tiamina	BI2024
thiamine mononitrate	mononitrato de tiamina	BI2024
thiamine nitrate	nitrato de tiamina	BI2024
thiazide	tiacida	BI2024
thiazide diuretics	diuréticos tiacídicos	BI2024
thickened whitish truncus pulmonalis	engrosamiento blancuzco del tronco pulmonar	BI2024
thickening agent 	agente espesante	BI2024
thickness	espesor	BI2024
thin layer chromatography	cromatografía de capa fina	BI2024
thin layer chromatography plate 	placa de cromatografía de capa fina	BI2024
thinner	reductor	BI2024
thinner	diluyente	según el contexto)	BI2024
thioacetamide	tioacetamida	BI2024
thioglycolic acid	ácido tioglicólico	BI2024
This document may not -in full or in part- be passed on, reproduced, published, or otherwise used without prior written permission. 	Quedan prohibidas la transmisión, reproducción, publicación y toda otra utilización, total o parcial, de este documento sin autorización previa por escrito.	BI2024
thorium nitrate	nitrato de torio	BI2024
three times a day [t.i.d.] / 	tres veces al día	BI2024
three-ply aluminium blister	blíster de aluminio trilaminado	BI2024
three-way crossover trial	estudio cruzado en tres vías	BI2024
threshold of toxicological concern	umbral de toxicidad	BI2024
thrombin inhibitor	inhibidor de la trombina	BI2024
thromboembolic disorders 	trastornos tromboembólicos 	BI2024
thromboplastin 	tromboplastina	BI2024
thumb pad	apoyo del émbolo	de una jeringa)	BI2024
thyroid gland	glándula tiroidea 	BI2024
tidal volume	volumen de aire durante la respiración normal	BI2024
tidal volume during quiet breathing	volumen de aire en reposo	BI2024
tight packaging materials	materiales de acondicionamiento hermético	BI2024
tightness	hermeticidad	BI2024
time	months)	tiempo (expresado en meses)	BI2024
time course	curso cronológico	BI2024
time in therapeutic range	tiempo en el rango terapéutico	BI2024
time point	momento de medición 	BI2024
time to complete dissolution	tiempo transcurrido hasta que se termina de disolver	BI2024
time to event	tiempo transcurrido hasta la aparición del evento	BI2024
time to reach Cmax 	tiempo hasta alcanzar la concentración máxima [tmáx]	BI2024
tissue dissolution pattern	patrón de distribución tisular	BI2024
tissue plasminogen activator	activador de plasminógeno tisular natural	BI2024
titanium dioxide	dióxido de titanio	BI2024
titanium oxide	óxido de titanio	BI2024
title page	portada	BI2024
titrant 	titulador	referido a un equipo) 	BI2024
titrate	valorar 	BI2024
titration	valoración (volumétrica	BI2024
titration	cuantitativa)	BI2024
titration reagent	reactivo de valoración	BI2024
titrimetric assay	análisis volumétrico	BI2024
titrimetric procedure	procedimiento volumétrico	BI2024
titrimetry	volumetría	BI2024
tocopherol	tocoferol	BI2024
tocopheryl	tocoferilo	BI2024
tolerability	tolerabilidad	BI2024
toluene	tolueno	BI2024
top spray fluid bed process	proceso de lecho fluidizado superior por pulverización 	BI2024
topical	local	BI2024
torque screw	destornillador dinamométrico	BI2024
total aerobic microbial count 	recuento de microorganismos aerobios totales 	BI2024
total bacterial count	recuento bacteriano total 	BI2024
total clearance of the analyte in plasma 	depuración total del analito en plasma 	BI2024
total fatty acids	ácidos grasos totales	BI2024
total fungal count	recuento fúngico total	BI2024
total infusion time	tiempo total de infusión	BI2024
total of all impurities	impurezas totales	BI2024
total plasma clearance	depuración plasmática total	BI2024
total score	which ranges from 0 to 4 of at least 3 in which 0 = clear, 3 = moderate, 4 = severe)	puntuación total (en el intervalo de 0 a 4 de un mínimo de 3 en el cual 0 equivale a leve, 3 a moderado, y 4 a grave) (referido a los brotes - espesolimab)	BI2024
toxicokinetics	toxicocinética	BI2024
toxidermia	toxidermia	BI2024
traceability 	trazabilidad	BI2024
tradename	nombre comercial	BI2024
trailing factor	factor de cola	BI2024
transfer 	transferencia	BI2024
transfer line	línea de transferencia	BI2024
transfer port	puerto de transferencia 	BI2024
transforming growth factor	factor de crecimiento transformante	BI2024
transient ischemic attack	ataque isquémico transitorio	BI2024
transition dyspnoea index	índice transicional de disnea	BI2024
transition metal	metal de transición	BI2024
transmittance	transmitancia	BI2024
transversely heated graphite tube	tubo de grafito calentado en forma transversal 	BI2024
treatment arm	grupo de tratamiento	BI2024
treatment-näive patients	pacientes sin tratamiento previo	BI2024
treatment-naive patients	pacientes sin tratamiento previo	BI2024
treat-to-target response	respuesta al tratamiento orientado al objetivo	BI2024
trial formulation	fórmula del estudio	BI2024
trial site	centro del ensayo	BI2024
triaminopyrimidin	triaminopiridina	BI2024
tridodecylamine	tridodecilamina	BI2024
triple-stage quadrupole mass spectrometer	espectómetro de masas de triple cuadrupolo	BI2024
trituration	trituración	BI2024
trituration	sustancia triturada	BI2024
tropic acid ethyl ester	éster etílico del ácido trópico	BI2024
troponin T	troponina T	BI2024
trough level	concentración mínima	BI2024
tryptic peptide mapping	mapeo de los péptidos obtenidos por hidrólisis con tripsina 	BI2024
tube	tubo de ensayo	BI2024
test tube	tubo de ensayo	BI2024
tube cutter	cortatubos	BI2024
tuberculosis	tuberculosis	BI2024
turbid	turbio	BI2024
turbidity	turbidez	BI2024
turbidimeter	turbidímetro 	BI2024
turbidimetric determination	determinación turbidimétrica	BI2024
turnover	recambio	BI2024
twice daily [b.i.d.]	dos veces al día [b.i.d.]	BI2024
two period crossover trial	estudio cruzado en dos períodos	BI2024
two period cross-over trial	estudio cruzado en dos períodos	BI2024
two way crossover trial	estudio cruzado en dos vías	BI2024
two way cross-over trial	estudio cruzado en dos vías	BI2024
two-chain peak	pico de dos cadenas	BI2024
two-sided 95% confidence interval	intervalo de confianza del 95% bilateral 	BI2024
two-sided tolerance interval	intervalo de tolerancia bilateral	BI2024
type 2 diabetes mellitus	diabetes mellitus tipo 2	BI2024
type II diabetes mellitus	diabetes mellitus tipo 2	BI2024
Tyrode's solution	solución de Tyrode	BI2024
tyrosine kinase activity	actividad de la cinasa de tirosina	BI2024
tyrosine kinase inhibitor	inhibidor de la cinasa de tirosina	BI2024
ultraviolet	ultravioleta	BI2024
ultraviolet scan	barrido UV	BI2024
UV-scan	barrido UV	BI2024
by UV-scan	por barrido UV	BI2024
UV/VIS spectroscopy	espectroscopía UV/VIS	BI2024
ultraviolet spectroscopy	espectroscopía ultravioleta	BI2024
visible spectroscopy        espectroscopía visible	BI2024
unblinding	desenmascaramiento	BI2024
unchanged solution	disolución inalterada	BI2024
uncoated tablets	comprimidos no recubiertos 	BI2024
uncontrolled humidity	humedad no controlada	BI2024
uncorrected retention time	tiempo bruto de retención	BI2024
underlying disease	enfermedad de base	BI2024
undried	hidratado	BI2024
unequivocal attribution of the impurities 	atribución inequívoca de las impurezas	BI2024
uniblock	uniblock	referido a un atomizador	BI2024
uniformity of delivered dose	uniformidad de dosis liberada	(si es de una boquilla) administrada	si no es de una boquilla)	BI2024
uniformity of mass	uniformidad de masa	BI2024
uniformity of metered mass	uniformidad del peso medido	BI2024
uninhibited control activity	actividad de control no inhibida	BI2024
union nut	tuerca de unión	BI2024
unionised	no ionizado	BI2024
United States	Estados Unidos [EE.UU.]	BI2024
United States package insert	ficha técnica de los Estados Unidos	BI2024
US package insert	ficha técnica de los Estados Unidos	BI2024
United States Pharmacopeia	Farmacopea de los Estados Unidos	BI2024
unless otherwise mentioned	a menos que se especifique otra indicación 	BI2024
unless otherwise provided	a menos que se establezca otra indicación 	BI2024
unpacked	sin envasar	BI2024
unprotected tablets	comprimidos sin protección	BI2024
unspecified 	sin especificar	BI2024
unstressed sample	muestra en condiciones normales 	BI2024
unwanted effect	efecto no deseado	BI2024
unwinding	desenrollado	BI2024
up titration	ajuste ascendente de la dosis	BI2024
upper limit of normal	límite normal superior	BI2024
upper limit of quantitation 	límite de cuantificación superior 	BI2024
upper respiratory tract	vías respiratorias inferiores	BI2024
upper thighs	la parte superior de los muslos	BI2024
upper-lower-ratio	cociente entre el límite superior y el inferior	BI2024
urinalysis	análisis de orina	BI2024
urine analysis	análisis de orina	BI2024
urinary sediment	sedimento urinario	BI2024
use in specific populations	uso en poblaciones específicas	BI2024
u-tube principle	principio del tubo en U oscilante	BI2024
UV determination	determinación por UV	BI2024
UV spectrophotometry	espectrofotometría UV	BI2024
vacuum dryer	secador al vacío	BI2024
vacuum oven	horno de vacío	BI2024
vacuum source	fuente de vacío	BI2024
vacuum testing	análisis al vacío	BI2024
validation	validación	BI2024
valley-to-valley integration	integración de valle a valle 	BI2024
valvular heart disease	valvulopatía	BI2024
vanillin	vainillina	BI2024
variability	variabilidad	BI2024
variable wavelength UV detector	detector UV de longitud de onda variable	BI2024
variation	variación	BI2024
varnish	barniz	BI2024
vascular disease 	enfermedad vascular	BI2024
vascular endothelial cell growth factor receptor	receptor del factor de crecimiento del endotelio vascular 	BI2024
venous thromboembolism	tromboembolia venosa	BI2024
ventricular septal defect	comunicación interventricular	BI2024
verapamil	verapamilo	BI2024
versus 	versus [vs.]	BI2024
very slightly soluble	muy ligeramente soluble	BI2024
vessel chamber	cámara de recipientes	BI2024
via catabolic pathways 	por las vías catabólicas 	BI2024
vial	ampolla	BI2024
vial	frasco/ vial	En el caso de Metalyse, Actilyse y Praxbind se deberá usar vial	BI2024
vibrating mill	molino de discos vibratorios	referido a granulometrías)	BI2024
vibrational spectroscopy	espectroscopia vibracional	BI2024
viral pathogen	virus	BI2024
visual evoked potential	potencial evocado visual	BI2024
visual test	inspección visual	BI2024
vital physiological functions	funciones fisiológicas vitales	BI2024
vitamin K antagonist	antagonista de la vitamina K	BI2024
volume 	volumen [vol.]	BI2024
volume of distribution at steady state 	volumen de distribución en estado estacionario 	BI2024
volume per volume [v/v]	volumen por volumen [v/v]	BI2024
volumetric flask	matraz aforado	BI2024
volumetric solution	solución volumétrica	BI2024
volumetric titration	valoración volumétrica /análisis volumétrico	BI2024
titration	valoración volumétrica /análisis volumétrico	BI2024
wafer	sello	BI2024
wag	flexión, flexión asimétrica fuera de plano	en espectrometría)  	BI2024
waive	eximir del cumplimiento 	BI2024
warfarin	warfarina	BI2024
wash solution	solución de enjuague	BI2024
wash-out	período de depuración farmacológica	BI2024
washout	período de depuración farmacológica	BI2024
water content	contenido de agua	BI2024
water for injection	agua para inyectable	BI2024
water uptake	absorción de agua	BI2024
water-bath	baño María	BI2024
waterbath	baño María	BI2024
wavelength 	longitud de onda	BI2024
weighing bottle	pesafiltro	BI2024
weighing dish	platillo de balanza	BI2024
weight	peso	BI2024
weight	pesaje	BI2024
weight the cartidges to within 1 mg	pesar los cartuchos con un margen de precisión de 1 mg	en cromatografía)	BI2024
weight/volume [w/v]	peso/volumen [p/v]	BI2024
weight/weight [w/w]	peso/peso [p/p]	BI2024
well plate	placa de pocillos	BI2024
Wellenzahlen	número de onda	BI2024
wet granulation	granulación húmeda	BI2024
wetness area	área de humedad	BI2024
wheal	roncha 	BI2024
white blood cells	leucocito	BI2024
white opaque aluminium blister	blíster de aluminio de color blanco opaco	BI2024
white polyethylene tamper	precinto de seguridad de polietileno blanco	BI2024
white to off white	blanco a blanquecino	referido al color)	BI2024
whole blood	sangre total	BI2024
wildtype rats	ratas silvestres	BI2024
winding	bobinado	de un rollo de aluminio)	BI2024
window	ventana -por ejemplo: ventana de pH 	BI2024
wire	alambre	referido a las mallas de un tamiz)	BI2024
Wistar rat	rata Wistar	BI2024
withdraw 	extraer	referido a un principio activo)	BI2024
withdraw 	retiro	de una persona respecto de un estudio clínico)	BI2024
withdrawal and rebound	abstinencia y efecto rebote	BI2024
woodberry	referido al sabor de un medicamento)	BI2024
wood berry	frutos del bosque	referido al sabor de un medicamento)	BI2024
working cell bank	banco de células de trabajo	BI2024
working reference standard	norma de referencia de trabajo	BI2024
working temperature	temperatura de trabajo	BI2024
worksharing variation	variación de trabajo compartido	BI2024
workup 	procesamiento	BI2024
workup of the sample collection tube	procesamiento del tubo de toma de muestras	BI2024
worst-case scenario	en el peor de los casos	BI2024
worst case scenario	en el peor de los casos	BI2024
written summary	resumen descriptivo	BI2024
xenograft	injerto heterólogo 	BI2024
xenon lamp	lámpara de xenón	BI2024
X-ray diffraction	difracción de rayos X	BI2024
yeasts and moulds	mohos y levaduras 	BI2024
yield routinely 	obtener de manera sistemática	BI2024
y-intercept	ordenada al origen	en un gráfico de coordenadas)	BI2024
zeaxanthin	zeaxantina	BI2024
zero-order kinetics	cinética de orden cero	BI2024
zinc	zinc	BI2024
zinc sulphate 	sulfato de zinc	BI2024
Zollinger-Ellison-Syndrome	síndrome de Zollinger-Ellison 	BI2024
Zorbax Bonus 	Zorbax Bonus	cromatografía)	BI2024
Zucker Diabetic Fatty rat	rata Zucker obesa diabética 	BI2024
-------- 2 - Portada	BI2024
	MODELO DE PORTADA	BI2024
	Datos de estabilidad del producto farmacéutico. Estudios de estabilidad acelerada y a largo plazo	BI2024
		Núm. del documento: U09-1716-02	BI2024
	Código de BI	09/095-02	BI2024
Núm. del estudio:	09/095-02	BI2024
	Sustancia(s) en estudio:	Telmisartán	BI2024
	Identificación del material:	85029	BI2024
	Título:	BI2024
		Comprimidos multicapa de telmisartán	BI2024
		de 80 mg 	BI2024
	Autor(es):	BI2024
		Michael Meier, Ph.D.	BI2024
	Instituto(s)	Boehringer Ingelheim Pharma GmbH & Co. KG Birkendorfer Str. 65, 88397 Biberach an der Riss, Alemania.	BI2024
Compañía:	Boehringer Ingelheim Pharma GmbH & Co. KG Birkendorfer Str. 65, 88397 Biberach an der Riss, Alemania.	BI2024
	Departamento(s):	Departamento de Ciencias Analíticas	BI2024
	Fecha del informe:	12 de octubre de 2023                   Página 1 de 36	BI2024
	Información confidencial protegida por derechos de propiedad intelectual.  © 2023 Boehringer Ingelheim International GmbH o sus empresas afiliadas.Todos los derechos reservados.	BI2024
	Quedan prohibidas la transmisión, la reproducción, la publicación y toda otra utilización, total o parcial, del presente sin autorización previa por escrito.	BI2024
-------- 3 - Pautas	BI2024
Pautas básicas de formato y estilo	BI2024
A. Estilo	BI2024
1. Se ruega no dejar términos en inglés si es posible traducirlos y evitar el uso de anglicismos.	BI2024
2. Si se deja un término en inglés, por favor escribirlo en cursiva. Proceder con el mismo criterio para todo otro idioma, como por ejemplo: latín	Escherichia coli).	BI2024
3. Ante una disyuntiva sobre un determinado uso o norma, consultar a la Coordinadora de BI para llegar a un acuerdo.	BI2024
4. Para los nombres del principio activo, solicitamos que se respete el original. Si en el documento original aparece con mayúscula, en la traducción deberá estar con mayúscula y si en el documento original aparece con minúscula, en la traducción deberá estar con minúscula.	BI2024
5. Los accidentes y los nombres geográficos van en español, como regla general. Los nombres propios no se traducen.	BI2024
6. Los números decimales en español van con coma	en lugar de punto). No obstante, para cifras a partir de mil por favor no agregar el punto (a pedido de los colegas de México).	BI2024
7. El criterio estilístico básico es recurrir a las colocaciones, las frases y los términos más idiomáticos, como también optar por locuciones latinas siempre que sea posible, de modo de lograr un texto final en español que sea preciso y se lea con naturalidad.	BI2024
8. Recomendamos tener en cuenta que el lector de las traducciones de la documentación del área regulatoria es un funcionario de una autoridad sanitaria	de la Argentina y de otros países de América Latina), del cual requerimos su autorización. Por consiguiente, debemos procurar que nuestro lector se encuentre con una redacción fluida y que además no se plantee interrogantes respecto de la terminología utilizada.	BI2024
B. Formato	BI2024
1. Salvo disposición en contrario, el formato de la traducción deberá respetar todos los detalles del original. En el caso de que en un cuadro o en una tabla con referencias no sea posible sobreescribir el texto, por favor dejar las referencias en inglés y agregar la traducción debajo. 	BI2024
2. Sugerimos que el índice, las viñetas, etc. se generen con las funciones automáticas de Word.	BI2024
3. Recomendamos pasar el corrector ortográfico luego de haber terminado la última etapa de control de calidad y antes de hacer la entrega final de los textos a BI.	BI2024
3. Solicitamos entregar las traducciones en Word.	BI2024
4. Las referencias bibliográficas se transcriben, no se traducen.	BI2024
C. Siglas	BI2024
1. Dejar las siglas en inglés y consignar su significado en español, entre paréntesis, la primera vez que aparecen. Excepción: las siglas que se conocen en español	usarlas en español), como por ejemplo ADN. En los casos en que se pueda evitar el uso de una sigla, se recomienda evitarlo. 	BI2024
2. Las siglas referidas a organismos internacionales no se traducen	aunque sí sus formas extendidas). Excepciones: traducciones ya existentes al español de uso generalizado (ej.: ICH-ICH / WHO-OMS). 	BI2024
3. Las siglas de los nombres de los ensayos clínicos no se traducen	RELY, por ejemplo). 	BI2024
4. Las abreviaturas no se pluralizan en español.	BI2024
5. Las listas de las siglas que aparecen en los originales se deben consignar en la traducción por orden alfabético.	BI2024
-------- 4 - Fuentes	BI2024
Fuentes de consulta y de referencia recomendadas	BI2024
Diccionario crítico de dudas inglés -español de medicina, Navarro, Mc Graw Hill.	BI2024
Diccionario panhispánico de términos médicos: www.dptm.es  	BI2024
Guía de estilo de la RAE: www.rae.es	BI2024
Diccionario de la Real Academia Española: www.rae.es	BI2024
Diccionario Panhispánico de Dudas, Real Academia Española, Santillana	BI2024
Revista Panacea: https://www.revistapanacea.com/	BI2024
Tremédica: https://www.tremedica.org	BI2024
Medline plus: www.nlm.nih.gov/medlineplus	BI2024
Organización Mundial de la Salud: www.who.int	BI2024
ANMAT: www.anmat.gov.ar	BI2024
FDA: www.fda.org	BI2024
BI: www.boehringer-ingelheim.com	BI2024
Termium: https://www.btb.termiumplus.gc.ca/	BI2024
intramed.net	BI2024
Pub Med: www.https://pubmed.ncbi.nlm.nih.gov	BI2024
Interactive Terminology for Europe: iate.europa.eu 	BI2024
European Medicines Agency: ema.europa.eu	BI2024
US Pharmacopea: usp.org	BI2024
Red Panamericana para la Armonización de la Reglamentación Farmacéutica	Red PARF):   https://www.paho.org/es/red-parf-red-panamericana-para-armonizacion-reglamentacion-farmaceutica	BI2024
-------- 5 - Productos	BI2024
PRODUCTOS VIGENTES	BI2024
Principios activos y nombres comerciales	BI2024
Inglés	Español	BI2024
Afatinib	Giotrif)	afatinib	BI2024
Alteplase	Actilyse)	alteplasa	BI2024
Dabigatran	Pradaxa)	dabigatrán etexilato	BI2024
Empagliflozin	Jardiance)	empagliflozina	BI2024
Empagliflozin + linagliptin	Glyxambi)	empagliflozina + linagliptina	BI2024
Empagliflozin + metformin	Jardiance Duo - Synjardy)	empagliflozina + metformina	BI2024
Idarucizumab	Praxbind)	idarucizumab 	BI2024
Ipratropium	Atrovent)	ipratropio 	BI2024
Ipratropium + Fenoterol	Berodual)	ipratropio + fenoterol	BI2024
Linagliptin	Trayenta)	linagliptina	BI2024
Linagliptin + Metformin	Jentadueto - Trayenta Duo - Trayentamet)	linagliptina + metformina	BI2024
Meloxicam	Mobic)	meloxicam	BI2024
Nevirapine	Viramune)	nevirapina	BI2024
Nintedanib	Vargatef, Ofev)	nintedanib	BI2024
Pramipexole	Mirapex - Sifrol)	pramipexol	BI2024
Spesolimab	Spevigo)	espesolimab	BI2024
Telmisartan	Micardis)	telmisartán	BI2024
Telmisartan + Amlodipine	Micardis Amlo	telmisartán + amlodipina	BI2024
Twysnta)	telmisartán + amlodipina	BI2024
Telmisartan +  Hydrochlorotiazide	Micardis Plus)	telmisartán + hidroclorotiazida	BI2024
Tenecteplase	Metalyse)	tenecteplasa	BI2024
Tiotropium + Olodaterol	Spiolto)	tiotropio + olodaterol	BI2024
Tiotropium bromide	Spiriva)	bromuro de tiotropio	BI2024
Última actualización de los datos: diciembre de 2023.	BI2024
aPTT	aPTT	BI2024
A/G	A/G	BI2024
ANCOVA model	modelo ANCOVA	BI2024
BL-AP	BL-AP	BI2024
A-V	A-V	BI2024
b.i.d.	b.i.d.	BI2024
Crl:NMRI	Crl:NMRI	BI2024
Crl:WI(Han)	Crl:WI(Han)	BI2024
C-HPLC	C-HPLC	BI2024
ca	aprox.	BI2024
cfu	ufc	BI2024
CC/CP	CC/CP	BI2024
ct	unid.	BI2024
cys	cis	BI2024
CYP-450	P450	BI2024
DoE	DoE	BI2024
EGFR-TKI	EGFR-TKI	BI2024
Ph. Eur.	Ph. Eur.	BI2024
BfArM	BfArM	de Alemania	BI2024
Fa	Fa	BI2024
IC50	IC50	BI2024
IgA	IgA	BI2024
IgG	IgG	BI2024
ICP-OES	ICP-OES	BI2024
IL 6	IL-6	BI2024
IL36	IL-36	BI2024
i.d.	i.d.	BI2024
i.v.	i.v.	BI2024
kg	kg	BI2024
LcK	LcK	BI2024
HPLC - MS/MS	HPLC - MS/MS	BI2024
Vmax	Vmáx	BI2024
C(max,ss)	C(máx,ss)	BI2024
Cmax	Cmáx	BI2024
MedDRA	MedDRA	BI2024
µg	µg	BI2024
µM	µM	BI2024
mg	mg	BI2024
ml	ml	BI2024
min	min	BI2024
ng	ng	BI2024
nm	nm	BI2024
nM	nM	BI2024
N/A	No corr.	BI2024
N/D	no det.	BI2024
n.t.	s.e.	BI2024
ppm	ppm	BI2024
p.o.	v.o.	BI2024
pEGFR	pEGFR	BI2024
ppp	ppp	BI2024
pVTEp	pVTEp	BI2024
GPPASI 75	GPPASI 75	BI2024
recov.	recup.	BI2024
r.h.	h.r.	BI2024
V rel	vol. rel.	BI2024
sTF	sTF	BI2024
Th1/Th17	Th1/Th17	BI2024
MS/MS	MS/MS	BI2024
tmax	tmáx	BI2024
b.i.d.	b.i.d.	BI2024
UV/VIS spectroscopy	espectroscopía UV/VIS	BI2024
uLOQ	uLOQ	BI2024
vs	vs.	BI2024
vol	vol.	BI2024
Vss	Vss	BI2024
v/v	v/v	BI2024
w/v	p/v	BI2024
w/w	p/p	BI2024

